location,mac,mean_rssi,median_rssi,std_rssi,samples
bijuOffice,00:27:E3:29:CD:E0,-73.74074074074075,-75.0,6.123270730944726,81
bijuOffice,00:27:E3:29:CE:40,-86.25,-87.0,1.5,4
bijuOffice,00:27:E3:29:D1:20,-85.8,-86.0,1.7888543819998302,5
bijuOffice,00:27:E3:29:E8:80,-83.32142857142857,-84.0,4.464291005287874,28
bijuOffice,00:A3:8E:60:EB:E1,-67.0609756097561,-66.5,11.916735364708082,82
bijuOffice,00:A3:8E:60:F3:80,-82.41025641025641,-84.0,5.245137842340765,39
bijuOffice,00:A3:8E:65:44:00,-85.81818181818181,-86.0,1.7786613965666336,11
bijuOffice,00:A3:8E:67:4C:81,-71.29545454545455,-69.0,7.290616061049594,88
bijuOffice,08:4F:A9:2D:77:41,-85.75,-86.0,2.3587550721081825,52
bijuOffice,08:4F:A9:39:6A:41,-86.375,-86.5,1.187734939165421,8
bijuOffice,0C:75:BD:12:BF:A0,-88.0,-89.0,2.0000000000000004,5
bijuOffice,70:EA:1A:22:9B:81,-86.28571428571429,-86.0,1.5406577730392814,14
bijuOffice,70:EA:1A:22:A9:41,-83.125,-84.0,3.4728802795226708,40
bijuOffice,70:EA:1A:65:2E:A1,-88.0,-88.0,0.0,3
bijuOffice,mac,,,,0
csHod,00:27:E3:29:D2:A0,-88.16666666666667,-88.5,1.2673044646258478,12
csHod,00:27:E3:29:D2:E0,-87.5,-87.5,0.5773502691896278,4
csHod,00:27:E3:29:D4:A0,-88.6,-90.0,2.190890230020663,5
csHod,00:27:E3:29:D8:E0,-86.5,-86.5,2.1213203435596424,2
csHod,00:27:E3:29:E8:80,-81.8,-81.0,2.966479394838265,20
csHod,00:A3:8E:4E:29:A1,-68.90789473684211,-65.5,13.056980387597468,76
csHod,00:A3:8E:67:4C:81,-84.3061224489796,-84.0,3.3862718046095948,49
csHod,08:4F:A9:10:4B:81,-89.4,-89.0,1.1401754250991383,5
csHod,08:4F:A9:2D:77:41,-87.5,-87.5,0.7071067811865476,2
csHod,08:4F:A9:2D:8A:41,-76.55813953488372,-78.0,5.708399515423359,43
csHod,08:4F:A9:2D:8A:A1,-78.3076923076923,-78.0,5.69003675019973,39
csHod,08:4F:A9:30:00:01,-57.588235294117645,-57.0,12.521689865462838,85
csHod,08:4F:A9:39:68:21,-75.60714285714286,-78.0,10.023025439508721,56
csHod,08:4F:A9:39:6A:41,-51.8,-51.0,9.606297537602734,85
csHod,4C:77:6D:10:31:E1,-69.36486486486487,-68.0,12.73822241348694,74
csHod,70:EA:1A:22:8F:E1,-88.0,-88.0,,1
csHod,70:EA:1A:22:9B:81,-87.0,-87.0,1.4142135623730951,2
csHod,70:EA:1A:22:9F:21,-71.86,-70.0,9.147342649699981,50
csHod,70:EA:1A:22:9F:E1,-79.72413793103448,-82.0,6.348899900420031,58
csHod,70:EA:1A:22:A5:A1,-88.0,-88.0,1.154700538379253,10
csHod,70:EA:1A:22:A9:41,-73.07894736842105,-76.5,9.567672176511527,76
d151d153,00:27:E3:29:DC:00,-84.5,-85.0,2.7797972457128464,12
d151d153,00:27:E3:29:E8:80,-83.83333333333333,-84.0,1.8989630344113089,12
d151d153,00:A3:8E:4E:29:A1,-77.92222222222222,-77.5,3.8924524425454536,90
d151d153,00:A3:8E:67:4C:81,-86.15384615384616,-87.0,1.5191090506254996,13
d151d153,08:4F:A9:10:4B:81,-84.9375,-85.0,3.6183894118079505,32
d151d153,08:4F:A9:2D:77:41,-86.66666666666667,-87.0,1.3662601021279466,6
d151d153,08:4F:A9:2D:8A:41,-81.68235294117648,-82.0,3.6095500468363384,85
d151d153,08:4F:A9:2D:8A:A1,-80.63157894736842,-82.0,6.385339175876058,57
d151d153,08:4F:A9:30:00:01,-83.45205479452055,-84.0,4.1701355423295645,73
d151d153,08:4F:A9:39:68:21,-82.95588235294117,-83.0,4.317385276732165,68
d151d153,08:4F:A9:39:6A:41,-87.6875,-88.0,1.4476993242152623,16
d151d153,40:01:7A:01:B3:82,-87.5,-87.5,1.7728105208558356,8
d151d153,40:01:7A:AF:D3:62,-88.5,-88.5,2.1213203435596424,2
d151d153,40:01:7A:B1:00:42,-87.2,-87.0,1.7888543819998322,5
d151d153,4C:77:6D:10:31:E1,-86.04545454545455,-86.0,1.9142889448832328,22
d151d153,70:EA:1A:22:8F:E1,-83.12068965517241,-84.5,4.188864043171096,58
d151d153,70:EA:1A:22:96:21,-78.64285714285714,-78.5,3.7184838514116354,70
d151d153,70:EA:1A:22:96:A1,-75.61428571428571,-74.0,7.313463576336562,70
d151d153,70:EA:1A:22:9B:81,-73.54411764705883,-73.0,3.4487022154757363,68
d151d153,70:EA:1A:22:9F:21,-84.27083333333333,-86.0,4.1908694234994535,48
d151d153,70:EA:1A:22:9F:E1,-82.36842105263158,-83.0,3.7743362376830922,19
d151d153,70:EA:1A:22:A5:A1,-86.4,-86.0,2.1855138041740365,35
d151d153,70:EA:1A:22:A9:41,-68.18478260869566,-68.0,3.31804704848469,92
d151d153,70:EA:1A:22:A9:A1,-86.0,-86.0,1.6329931618554518,10
d171,00:27:E3:29:CD:E0,-85.2,-85.0,2.9664793948382604,20
d171,00:27:E3:29:E8:80,-81.15789473684211,-82.0,6.11832124912865,38
d171,00:A3:8E:60:EB:E1,-85.66666666666667,-86.5,3.6622076273584434,18
d171,00:A3:8E:60:F3:80,-83.3,-83.0,3.683295625749673,10
d171,00:A3:8E:67:4C:81,-86.91304347826087,-87.0,2.429235635081746,23
d171,08:4F:A9:39:68:21,-87.66666666666667,-87.5,2.250925735484551,6
d171,70:EA:1A:22:96:21,-88.66666666666667,-88.5,1.4354811251305475,12
d171,70:EA:1A:22:96:A1,-85.8108108108108,-86.0,1.8232729703268036,37
d171,70:EA:1A:22:9B:81,-73.62921348314607,-73.0,5.407028301773525,89
d171,70:EA:1A:22:9F:E1,-85.69565217391305,-86.0,1.9641047604141235,23
d171,70:EA:1A:22:A9:41,-85.0625,-85.0,2.4074537032585552,16
dlt7,00:A3:8E:4E:29:A1,-86.71428571428571,-87.0,1.6837947722821933,14
dlt7,08:4F:A9:10:4B:81,-63.793103448275865,-64.0,5.2454585696060025,87
dlt7,08:4F:A9:2D:77:41,-88.14285714285714,-88.0,0.8997354108424375,7
dlt7,08:4F:A9:2D:8A:41,-87.16666666666667,-87.5,1.9407902170679525,6
dlt7,08:4F:A9:2D:8A:A1,-82.575,-83.0,3.2404680080803763,80
dlt7,40:01:7A:01:B3:82,-86.5945945945946,-87.0,2.2293429457959073,37
dlt7,40:01:7A:01:B8:82,-86.46153846153847,-86.0,1.761409691855961,13
dlt7,40:01:7A:AF:D3:62,-86.96296296296296,-87.0,2.2614066670902253,27
dlt7,40:01:7A:B1:00:42,-81.02564102564102,-82.0,4.631833271381798,78
dlt7,40:01:7A:C6:A5:62,-87.0,-87.0,,1
dlt7,40:01:7A:CA:3F:A2,-84.0909090909091,-84.0,3.308129825705596,22
dlt7,70:EA:1A:22:8F:E1,-52.19767441860465,-54.0,8.791466139443692,86
dlt7,70:EA:1A:22:96:21,-81.22222222222223,-81.0,4.8317607504599716,54
dlt7,70:EA:1A:22:96:A1,-82.39285714285714,-83.0,4.166349194254565,28
dlt7,70:EA:1A:22:9F:21,-85.85714285714286,-86.0,2.2453655975512476,49
dlt7,70:EA:1A:22:A5:A1,-79.40963855421687,-80.0,4.598610990124679,83
dlt7,70:EA:1A:22:A9:41,-75.47058823529412,-75.0,5.123680399901634,85
dlt7,70:EA:1A:22:A9:A1,-76.33333333333333,-77.0,4.225247114464975,87
dlt8,00:A3:8E:4E:29:A1,-78.6470588235294,-79.0,5.245646454221737,85
dlt8,00:A3:8E:65:48:01,-87.0,-87.0,,1
dlt8,08:4F:A9:10:4B:81,-55.05747126436781,-56.0,7.117545176891739,87
dlt8,08:4F:A9:2D:77:41,-87.5,-87.5,0.7595545253127511,14
dlt8,08:4F:A9:2D:8A:41,-67.73563218390805,-67.0,6.791683988380343,87
dlt8,08:4F:A9:2D:8A:A1,-60.71264367816092,-61.0,8.34838523026781,87
dlt8,08:4F:A9:30:00:01,-85.97058823529412,-87.5,3.3256149499015843,34
dlt8,08:4F:A9:39:68:21,-75.48275862068965,-76.0,6.550096873001923,87
dlt8,40:01:7A:01:B3:82,-88.0909090909091,-88.0,1.044465935734186,11
dlt8,40:01:7A:01:B8:82,-83.78571428571429,-84.0,2.9483124976587782,70
dlt8,40:01:7A:AF:D3:62,-85.69333333333333,-86.0,3.1792117556695403,75
dlt8,40:01:7A:B1:00:42,-84.58823529411765,-85.0,3.144369384078372,51
dlt8,40:01:7A:C6:A5:62,-87.9375,-88.0,1.289379695822765,16
dlt8,40:01:7A:CA:3F:A2,-89.0,-89.0,,1
dlt8,4C:77:6D:10:31:E1,-85.66666666666667,-86.0,0.5773502691896247,3
dlt8,70:EA:1A:22:8F:E1,-58.793103448275865,-60.0,5.957480993800954,87
dlt8,70:EA:1A:22:96:21,-90.0,-90.0,1.290994448735806,7
dlt8,70:EA:1A:22:96:A1,-83.10204081632654,-84.0,4.06327504380797,49
dlt8,70:EA:1A:22:9F:21,-74.28735632183908,-74.0,6.053843764505877,87
dlt8,70:EA:1A:22:9F:E1,-85.66666666666667,-85.5,1.2110601416389963,6
dlt8,70:EA:1A:22:A5:A1,-84.88135593220339,-85.0,2.785954586373385,59
dlt8,70:EA:1A:22:A9:41,-74.65517241379311,-76.0,5.459848337204679,87
dlt8,70:EA:1A:22:A9:A1,-67.91954022988506,-66.0,6.725893025870683,87
iotLab2,00:A3:8E:4E:29:A1,-84.21052631578948,-85.0,3.1194541432832095,19
iotLab2,08:4F:A9:10:4B:81,-82.72222222222223,-82.5,4.842487535821974,54
iotLab2,08:4F:A9:2D:77:41,-72.52631578947368,-74.0,8.058089770552325,95
iotLab2,08:4F:A9:2D:8A:A1,-79.9047619047619,-78.0,3.7670248460125895,21
iotLab2,08:4F:A9:30:00:01,-92.0,-92.0,,1
iotLab2,70:EA:1A:22:8F:E1,-66.33333333333333,-67.0,5.921711464320654,96
iotLab2,70:EA:1A:22:96:21,-88.2,-88.0,2.00713014739239,15
iotLab2,70:EA:1A:22:96:A1,-86.23076923076923,-86.0,1.3008872711759807,13
iotLab2,70:EA:1A:22:9F:21,-82.44897959183673,-84.0,5.827596790594007,49
iotLab2,70:EA:1A:22:A5:A1,-69.70526315789473,-71.0,7.349733942514919,95
iotLab2,70:EA:1A:22:A9:41,-77.89156626506023,-81.0,8.914241891069969,83
iotLab2,70:EA:1A:22:A9:A1,-82.55555555555556,-82.0,2.391223268109596,27
itRoom,00:A3:8E:4E:29:A1,-72.69662921348315,-76.0,11.24358857141383,89
itRoom,08:4F:A9:10:4B:81,-69.5505617977528,-69.0,7.495470201690707,89
itRoom,08:4F:A9:2D:77:41,-83.82142857142857,-85.0,3.395757475316637,56
itRoom,08:4F:A9:2D:8A:41,-80.29310344827586,-84.0,7.078528493849089,58
itRoom,08:4F:A9:2D:8A:A1,-75.56976744186046,-78.0,7.424190504773085,86
itRoom,08:4F:A9:30:00:01,-79.796875,-83.0,8.57863660218693,64
itRoom,08:4F:A9:39:68:21,-82.11764705882354,-82.0,5.194737155780553,17
itRoom,08:4F:A9:39:6A:41,-86.125,-85.5,1.9594095320493152,8
itRoom,4C:77:6D:10:31:E1,-75.32,-74.0,5.312877437572467,25
itRoom,70:EA:1A:22:8F:E1,-73.83908045977012,-74.0,4.645261559758203,87
itRoom,70:EA:1A:22:9F:21,-66.61797752808988,-70.0,11.870040225459844,89
itRoom,70:EA:1A:22:A5:A1,-79.14634146341463,-79.0,4.115978953561448,82
itRoom,70:EA:1A:22:A9:41,-64.23595505617978,-65.0,7.445289041202362,89
itRoom,70:EA:1A:22:A9:A1,-79.52272727272727,-79.0,3.8236327215270913,88
meetingRoom,00:27:E3:29:D2:A0,-85.7,-85.0,2.878577234772714,30
meetingRoom,00:27:E3:29:D2:E0,-89.0,-89.0,2.8284271247461903,2
meetingRoom,00:27:E3:29:DC:00,-88.0,-88.0,,1
meetingRoom,00:27:E3:29:E8:80,-82.0,-82.0,3.4509550720186035,45
meetingRoom,00:A3:8E:4E:29:A1,-82.0625,-85.0,6.9599192660889475,64
meetingRoom,00:A3:8E:60:F3:80,-86.0,-86.0,1.0,3
meetingRoom,00:A3:8E:67:4C:81,-86.4,-86.0,0.6992058987801005,10
meetingRoom,08:4F:A9:10:4B:81,-85.11111111111111,-85.0,1.1666666666666667,9
meetingRoom,08:4F:A9:2D:8A:41,-73.26666666666667,-74.0,11.253027620628625,75
meetingRoom,08:4F:A9:2D:8A:A1,-73.85,-73.5,10.212695655035104,60
meetingRoom,08:4F:A9:30:00:01,-80.32876712328768,-81.0,6.3180842616003305,73
meetingRoom,08:4F:A9:39:68:21,-69.33720930232558,-70.5,14.014790896944882,86
meetingRoom,08:4F:A9:39:6A:41,-77.43835616438356,-78.0,6.333303292406528,73
meetingRoom,4C:77:6D:10:31:E1,-79.95238095238095,-80.0,3.353747016043255,21
meetingRoom,70:EA:1A:22:8F:E1,-85.6086956521739,-86.0,2.3882121581327254,23
meetingRoom,70:EA:1A:22:96:21,-84.08333333333333,-83.0,3.6296339242742417,12
meetingRoom,70:EA:1A:22:96:A1,-85.88235294117646,-86.0,2.232777220782912,17
meetingRoom,70:EA:1A:22:9B:81,-82.21153846153847,-82.0,3.610097703645186,52
meetingRoom,70:EA:1A:22:9F:21,-81.78260869565217,-82.0,4.010854836782192,23
meetingRoom,70:EA:1A:22:9F:E1,-69.93258426966293,-72.0,9.509322880981046,89
meetingRoom,70:EA:1A:22:A5:A1,-87.0,-87.0,,1
meetingRoom,70:EA:1A:22:A9:41,-68.26966292134831,-66.0,10.5202878081783,89
meetingRoom,70:EA:1A:22:A9:A1,-86.4,-87.0,2.073644135332771,5
meetingRoom,mac,,,,0
roboticsLab,00:27:E3:29:CD:E0,-88.0,-88.0,0.0,2
roboticsLab,00:27:E3:29:D2:A0,-91.33333333333333,-91.0,1.5275252316519463,3
roboticsLab,00:27:E3:29:D2:E0,-86.88888888888889,-86.0,1.3642254619787413,9
roboticsLab,00:27:E3:29:DC:00,-84.78571428571429,-85.0,2.378252437417997,28
roboticsLab,00:27:E3:29:E8:80,-77.6470588235294,-78.0,5.072582422886276,85
roboticsLab,00:A3:8E:4E:29:A1,-86.88,-87.0,1.5631165450257811,25
roboticsLab,00:A3:8E:60:EB:E1,-85.83333333333333,-85.0,2.431930450133336,36
roboticsLab,00:A3:8E:67:4C:81,-74.27586206896552,-76.0,6.358824037787521,87
roboticsLab,08:4F:A9:10:4B:81,-90.0,-90.0,,1
roboticsLab,08:4F:A9:2D:77:41,-84.34782608695652,-84.0,3.0200617455376513,46
roboticsLab,08:4F:A9:30:00:01,-83.26027397260275,-83.0,4.323795263359732,73
roboticsLab,08:4F:A9:39:68:21,-87.75,-88.0,1.5,4
roboticsLab,08:4F:A9:39:6A:41,-76.90789473684211,-79.0,9.43776475171807,76
roboticsLab,4C:77:6D:10:31:E1,-86.375,-86.5,1.0606601717798227,8
roboticsLab,70:EA:1A:22:8F:E1,-86.8,-87.0,1.4832396974191333,5
roboticsLab,70:EA:1A:22:9B:81,-85.65714285714286,-86.0,2.7433647989591283,35
roboticsLab,70:EA:1A:22:9F:21,-90.0,-90.0,,1
roboticsLab,70:EA:1A:22:9F:E1,-90.0,-90.0,,1
roboticsLab,70:EA:1A:22:A5:A1,-87.88235294117646,-88.0,1.536324873731809,17
roboticsLab,70:EA:1A:22:A9:41,-64.29885057471265,-62.0,10.05579197039353,87
roboticsLab,CC:DB:93:65:2D:20,-88.0,-88.0,1.195228609334394,8
systemsLab2,00:27:E3:29:CD:E0,-81.05555555555556,-80.5,3.749073959733992,18
systemsLab2,00:27:E3:29:CE:40,-84.2439024390244,-84.0,2.353513201629406,41
systemsLab2,00:27:E3:29:D1:20,-82.8082191780822,-83.0,3.315190350855419,73
systemsLab2,00:27:E3:29:D2:A0,-88.13333333333334,-88.0,1.4573295865416038,15
systemsLab2,00:27:E3:29:D2:E0,-86.3125,-86.0,1.778341924377873,16
systemsLab2,00:27:E3:29:DB:E0,-87.83333333333333,-88.0,1.4034589305344725,12
systemsLab2,00:27:E3:29:DC:00,-87.75,-88.0,0.8864052604279187,8
systemsLab2,00:27:E3:29:E8:80,-76.23863636363636,-77.0,3.5135020947335387,88
systemsLab2,00:A3:8E:5C:48:60,-91.0,-91.0,,1
systemsLab2,00:A3:8E:60:EB:E1,-82.70833333333333,-82.0,6.053954271287534,24
systemsLab2,00:A3:8E:60:F3:80,-68.30337078651685,-68.0,5.388127719984394,89
systemsLab2,00:A3:8E:65:44:00,-82.85416666666667,-83.0,4.547571637854478,48
systemsLab2,00:A3:8E:67:4C:81,-81.86842105263158,-82.0,4.10122626771607,38
systemsLab2,08:4F:A9:2D:77:41,-85.44444444444444,-85.0,2.6509956200978118,9
systemsLab2,70:EA:1A:22:A9:41,-87.66666666666667,-88.0,1.5275252316519463,3
systemsLab2,70:EA:1A:65:2E:A1,-81.8529411764706,-81.5,5.486114645806802,68
systemsLab2,CC:DB:93:65:2D:20,-84.43137254901961,-85.0,2.83022897985859,51
systemsLab2,mac,,,,0
